x	y
1847	5.36018
1848	5.36057
1849	5.36093
1850	5.36129
1851	5.28794
1852	5.28832
1853	5.28866
1854	5.28906
1855	5.2894
1856	5.28972
1857	5.28999
1858	5.29022
1859	5.29046
1860	5.29066
1861	5.24803
1862	5.24822
1863	5.2484
1864	5.24857
1865	5.24869
1866	5.24886
1867	5.24901
1868	5.24909
1869	5.24907
1870	5.24905
1871	5.24305
1872	5.24302
1873	5.24303
1874	5.24303
1875	5.24306
1876	5.24311
1877	5.24315
1878	5.2432
1879	5.24324
1880	5.24333
1881	5.19258
1882	5.19271
1883	5.19282
1884	5.19291
